03/19/2013,46,30,5,10.978260869565217
03/20/2013,52,20,1,13.115384615384615
03/21/2013,42,20,6,12.285714285714286
03/22/2013,47,20,5,13.829787234042554
03/23/2013,49,40,5,14.89795918367347
03/24/2013,58,30,10,15.10344827586207
03/25/2013,57,80,10,32.45614035087719
03/26/2013,67,100,10,41.791044776119406
03/27/2013,70,90,10,40.3
03/28/2013,68,80,6,27.66176470588235
03/29/2013,62,50,4,20.43548387096774
03/30/2013,58,40,5,18.448275862068964
03/31/2013,73,40,5,16.356164383561644
04/01/2013,62,60,0,24.193548387096776
04/02/2013,4,40,10,29.75
04/03/2013,65,60,10,31.53846153846154
04/04/2013,61,40,5,16.852459016393443
04/05/2013,67,50,5,20.01492537313433
04/06/2013,54,30,-999,-5.092592592592593
04/07/2013,51,20,5,12.156862745098039
04/08/2013,5,10,-999,-191.8
04/10/2013,15,10,5,9
04/11/2013,44,20,0,11.204545454545455
04/12/2013,30,30,10,13.666666666666666
04/13/2013,93,20,5,15.397849462365592
04/14/2013,86,30,7,14.034883720930232
04/15/2013,103,20,5,10.631067961165048
04/16/2013,81,40,10,11.358024691358025
04/17/2013,109,30,5,11.889908256880734
04/18/2013,92,20,1,10.347826086956522
04/19/2013,114,20,3,12.456140350877194
04/20/2013,83,30,-999,4.409638554216867
04/21/2013,101,30,5,13.722772277227723
04/22/2013,97,30,3,10.804123711340207
04/23/2013,101,20,10,10.792079207920793
04/24/2013,92,10,10,10
04/25/2013,89,30,10,12.92134831460674
04/26/2013,88,30,5,14.977272727272727
04/27/2013,144,50,-999,5.729166666666667
04/28/2013,105,40,5,15.228571428571428
04/29/2013,94,20,5,10
04/30/2013,82,20,5,10.121951219512194
05/01/2013,89,20,0,11.730337078651685
05/02/2013,90,30,5,11.855555555555556
05/03/2013,88,30,5,14.545454545454545
05/04/2013,140,25,5,11.221428571428572
05/05/2013,80,30,-999,3.5125
05/06/2013,105,30,5,12.59047619047619
05/07/2013,81,70,7,13.666666666666666
05/08/2013,90,30,5,11.333333333333334
05/09/2013,90,30,4,12.088888888888889
05/10/2013,93,20,5,12.688172043010752
05/11/2013,92,50,10,14.815217391304348
05/12/2013,99,25,1,11.575757575757576
05/13/2013,98,20,4,11.39795918367347
05/14/2013,81,20,10,11.246913580246913
05/15/2013,82,20,5,11.707317073170731
05/16/2013,103,40,10,16.300970873786408
05/17/2013,83,30,8,14.337349397590362
05/18/2013,114,60,4,13.587719298245615
05/19/2013,113,40,1,14.814159292035399
05/20/2013,96,20,5,10.78125
05/21/2013,94,40,3,12.26595744680851
05/22/2013,96,20,4,11.947916666666666
05/23/2013,86,40,-999,-7.930232558139535
05/24/2013,69,70,-999,-37.08695652173913
05/25/2013,104,40,-999,8.086538461538462
05/26/2013,102,70,-999,19.99019607843137
05/27/2013,109,70,10,29.63302752293578
05/28/2013,100,70,7,25.65
05/29/2013,82,45,2,15.573170731707316
05/30/2013,90,20,5,11.644444444444444
05/31/2013,95,50,5,18
06/01/2013,98,55,5,18.918367346938776
06/02/2013,104,60,5,23.221153846153847
06/03/2013,113,30,5,17.991150442477878
06/04/2013,83,50,10,19.3855421686747
06/05/2013,100,20,0,14.01
06/06/2013,98,15,5,9.959183673469388
06/07/2013,101,50,4,21.306930693069308
06/08/2013,105,60,-999,11.628571428571428
06/09/2013,99,40,5,14.95959595959596
06/10/2013,109,60,4,22.990825688073393
06/11/2013,104,70,10,32.64423076923077
06/12/2013,110,120,5,36.38181818181818
06/13/2013,95,60,6,22.71578947368421
06/14/2013,102,50,2,15.980392156862745
06/15/2013,84,30,5,13.75
06/16/2013,95,45,2,12.536842105263158
06/17/2013,107,40,5,19.121495327102803
06/18/2013,101,60,1,20.77227722772277
06/19/2013,103,70,5,26.368932038834952
06/20/2013,89,50,5,19.831460674157302
06/21/2013,76,40,5,21.63157894736842
06/22/2013,90,45,2,18.855555555555554
06/23/2013,87,40,5,16.896551724137932
06/24/2013,103,30,5,17.50485436893204
06/25/2013,94,40,5,17.659574468085108
06/26/2013,112,60,2,23.758928571428573
06/27/2013,102,50,5,24.441176470588236
06/28/2013,91,50,4,18.615384615384617
06/29/2013,78,60,-999,11.076923076923077
06/30/2013,85,30,5,18.458823529411763
07/01/2013,86,40,-999,6.813953488372093
07/02/2013,85,120,1,24.49411764705882
07/03/2013,97,100,-999,27.649484536082475
07/04/2013,88,30,4,15.715909090909092
07/05/2013,94,45,5,21.43617021276596
07/06/2013,86,60,5,20.453488372093023
07/07/2013,84,30,5,13.595238095238095
07/08/2013,95,40,5,17.610526315789475
07/09/2013,59,60,5,27.983050847457626
07/10/2013,114,90,-999,25.18421052631579
07/11/2013,95,130,5,22.86315789473684
07/12/2013,93,45,2,17.311827956989248
07/13/2013,86,30,5,15
